contract_address,name,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,thirty_day_volume,thirty_day_change,thirty_day_sales,thirty_day_average_price,total_volume,total_sales,total_supply,total_minted,num_owners,average_price,market_cap,floor_price,floor_price_historic_one_day,floor_price_historic_seven_day,floor_price_historic_thirty_day,updated_date
0x364c828ee171616a39897688a831c2499ad972ec,Sappy Seals,7.72409579,0.275066163,49,0.157634608,277.304205,0.432676464,731,0.379349118,914.4557195,-0.122121096,3197,0.286035571,85731.13505,317921,2707010,2707010,673283,0.269661756,1026901.855,0.0004,1.00E-05,5.36E-05,5.57E-06,2023-05-02T21:28:26.641259
0xf48b45479ba7e121a3542626d5a5f3b07ec5b65d,Outlaws,9.95622,-0.673415601,12,0.829685,368.36035,0.380101053,434,0.848756567,1719.589313,-0.172452915,1576,1.09110997,81830.24508,30339,10000,10000,5577,2.697196515,8487.565668,0.7979,0.8147,0.885,1.297,2023-05-02T21:28:30.145149
0x6ca10bc06de5af062cfd1dedde85b46ef43ec8d3,MetaZellys ETH,0.198978798,-0.972505005,21,0.009475181,43.6774575,-0.111149164,314,0.139100183,237.7560806,-0.612833998,1416,0.167906837,77213.11253,238875,1250,1250,58285,0.323236473,173.8752289,0.0004,0.0004,0.0004,0.00066912,2023-05-02T21:28:31.001555
0x79fcdef22feed20eddacbb2587640e45491b757f,mfer,0.198978798,-0.972505005,21,0.009475181,43.6774575,-0.111149164,314,0.139100183,237.7560806,-0.612833998,1416,0.167906837,77213.11253,238875,1250,1250,58285,0.323236473,173.8752289,0.0004,0.0004,0.0004,0.00066912,2023-05-02T21:28:30.940380
0xb283dbacecd75594b66039a341a48db2d85fa37a,Iron Paw Gang,1.31,0.984848499,4,0.3275,6.54142,-0.190775427,14,0.467244286,25.0656857,-0.752764645,68,0.368613025,75779.83729,13685,7779,7779,2511,5.537437873,3634.693299,0.35,0.35,0.415,0.4,2023-05-02T21:27:51.010537
0xd3d9ddd0cf0a5f0bfb8f7fceae075df687eaebab,TEST NFT,7.31734775,9.367110088,10,0.731734775,32.86244765,-0.108588981,37,0.888174261,219.1050326,-0.640265125,253,0.866027797,75260.14534,24686,7012,7012,4004,3.048697454,6227.877917,0.71,0.73,0.75,0.95,2023-05-02T21:28:32.156803
0x7daec605e9e2a1717326eedfd660601e2753a057,,3.8620099,-0.436974317,6,0.643668317,44.5069548,-0.512629344,66,0.6743478,589.7409201,-0.906059239,770,0.765897299,75078.49576,42270,7775,7775,3676,1.776165029,5243.054145,0.6829,0.6849,0.7147,0.8317,2023-05-02T21:28:35.751875
0xfe8c6d19365453d26af321d0e8c910428c23873f,Cold Blooded Creepz,1.65,0.1,7,0.235714286,18.227,-0.341747186,50,0.36454,463.185239,1.16824497,261,1.774656088,70025.66153,19335,39477,39477,8878,3.62170476,14390.94558,0.026,0.028,0.033,0.035,2023-05-02T21:29:35.087331
0x4e1f41613c9084fdb9e34e11fae9412427480e56,Terraforms,1.65,0.1,7,0.235714286,18.227,-0.341747186,50,0.36454,463.185239,1.16824497,261,1.774656088,70025.66153,19335,39477,39477,8878,3.62170476,14390.94558,0.026,0.028,0.033,0.035,2023-05-02T21:29:37.944979
0x394e3d3044fc89fcdd966d3cb35ac0b32b0cda91,RENGA,1.65,0.1,7,0.235714286,18.227,-0.341747186,50,0.36454,463.185239,1.16824497,261,1.774656088,70025.66153,19335,39477,39477,8878,3.62170476,14390.94558,0.026,0.028,0.033,0.035,2023-05-02T21:29:36.764511
