token_id,file_url,creator_address,last_sale_price,score,rank,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
2291,ipfs://QmV9vq8B1FqpqabWwuZSwTp7ye7U7XGZyz6xrUExCpKpPz,0xa98ed85e8408e5331d4330a1b9c661bd94fb848e,"{'asset_type': 'ETH', 'contract_address': None, 'price': 0.33, 'price_usd': 943.2988556853295}",1.1444767480184035,1278,Cross,Orange,Dmt,Bayc T Black,Bored,Bored,Fez
2292,ipfs://QmX5RJArMd5oewaUJEg6s1qPfDgiTRSXEDfvewLY2NHvqj,0xa98ed85e8408e5331d4330a1b9c661bd94fb848e,"{'asset_type': 'ETH', 'contract_address': None, 'price': 2.7, 'price_usd': 7547.466084592691}",1.2650957879083065,247,Gold Hoop,Aquamarine,Pink,Prison Jumpsuit,Small Grin,Wide Eyed,Bayc Hat Red
2293,ipfs://QmRyEc9yJicZQAD5ys24heVKtdKwoAUAAPUMdSbzzz3RC4,0xa98ed85e8408e5331d4330a1b9c661bd94fb848e,"{'asset_type': 'ETH', 'contract_address': None, 'price': 2.0, 'price_usd': 6296.122587023874}",1.0929519623638675,2140,,Purple,Black,Hawaiian,Grin Diamond Grill,Hypnotized,Bayc Hat Black
2294,ipfs://QmVfmSjqxgSBVxDBGVeZPbqryFwXyLN8nuqtYAds3qguvN,0x3dd37f2094903090b848ed6d20cd94f2f7267b1c,"{'asset_type': 'ERC20', 'contract_address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'price': 1.2652499999999998, 'price_usd': 3045.5946091615974}",0.9609484992311316,5860,,Orange,Pink,Striped Tee,Dumbfounded,Closed,S&m Hat
2295,ipfs://QmUMDzhQ4PGHEHsX5gFRdDowEijmSzCxwUBJNqZX7rUkmg,0x31c72d0d03adc76456d3c14a4fe19f8aa8307c16,,0.974350005891612,5406,,New Punk Blue,Brown,,Bored Cigarette,Holographic,Party Hat 2
2296,ipfs://QmWyxqvKsLnffV99XDe7bx5WKkL9wWKp1UBmc8qwEYMmXv,0x31c72d0d03adc76456d3c14a4fe19f8aa8307c16,"{'asset_type': 'ETH', 'contract_address': None, 'price': 118.0, 'price_usd': 140247.21704712213}",0.9738205509761858,5431,Gold Hoop,Gray,Brown,Kings Robe,Bored,Coins,
2297,ipfs://QmZrUhgUys9qcdArNF8bjYUhj2rfUFXfShywwoipXpUdWZ,0x31c72d0d03adc76456d3c14a4fe19f8aa8307c16,"{'asset_type': 'ETH', 'contract_address': None, 'price': 124.8, 'price_usd': 368885.1864529894}",0.7570426882782169,9945,,Yellow,Dark Brown,Tanktop,Bored Unshaven,Bored,
2298,ipfs://QmaC86aDmtPAB12Z4GpRZYFvUg8Ewc7asCpbx3GBUnHUPF,0x31c72d0d03adc76456d3c14a4fe19f8aa8307c16,"{'asset_type': 'ETH', 'contract_address': None, 'price': 115.0, 'price_usd': 155323.96551354817}",0.9507002654784834,6234,,,,,,,
2299,ipfs://QmNtD16BYzzT3CYmY2s4iwm6vrsHgQRumXfXZHYHBC9ccr,0x1bb22b6e8e93840930bbbc7c1d00490678bde5ba,"{'asset_type': 'ETH', 'contract_address': None, 'price': 0.45, 'price_usd': 1571.5191063773011}",1.031848024596755,3549,Silver Hoop,Orange,Cheetah,Biker Vest,Bored,Sleepy,Beanie
23,ipfs://QmadJd1GgsSgXn7RtrcL8FePionDyf4eQEsREcvdqh6eQe,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,"{'asset_type': 'ETH', 'contract_address': None, 'price': 289.0, 'price_usd': 893525.8756322451}",0.9959544818253232,4648,,Aquamarine,Trippy,,Bored Pipe,Bored,Beanie
