,ETH,score,rank,collection_size,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
85,101.0,0.9001563785314166,0.7928893340010016,10000,6.0,3.0,3.0,43.0,19.0,6.0,0.0
86,4.8,0.9515787347885863,0.6200300450676014,10000,0.0,3.0,19.0,14.0,4.0,9.0,0.0
87,111.25,1.0469956340420872,0.3136705057586379,10000,0.0,7.0,10.0,0.0,29.0,16.0,20.0
89,75.3684,0.8708437160344176,0.8697045568352529,10000,0.0,2.0,1.0,15.0,10.0,11.0,6.0
91,27.4,0.9988943905502148,0.45338007010515774,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,44.985,0.9083498106197192,0.7658487731597396,10000,0.0,8.0,3.0,36.0,19.0,4.0,10.0
94,0.45,0.9333948662251458,0.6839258888332499,10000,0.0,7.0,5.0,4.0,13.0,7.0,0.0
95,129.9,1.179620125366915,0.08662994491737606,10000,4.0,7.0,19.0,36.0,1.0,21.0,20.0
96,55.0,1.2236764057359368,0.04697045568352529,10000,1.0,6.0,9.0,21.0,19.0,17.0,23.0
97,75.0,1.061528452871724,0.2809213820731096,10000,0.0,4.0,13.0,41.0,4.0,18.0,25.0
98,38.0,1.0988742887662055,0.199899849774662,10000,5.0,2.0,6.0,25.0,3.0,3.0,0.0
99,0.33,1.1288264144316664,0.15142714071106658,10000,2.0,7.0,3.0,20.0,1.0,12.0,13.0
100,26.69,1.042335594015689,0.3258888332498748,10000,0.0,7.0,4.0,37.0,4.0,13.0,6.0
102,100.0,0.9597108511875824,0.5906860290435654,10000,6.0,6.0,6.0,3.0,4.0,11.0,0.0
104,3.0,1.1786363783244158,0.08783174762143214,10000,5.0,5.0,6.0,13.0,19.0,4.0,2.0
105,76.1,0.9842298875753136,0.5045568352528793,10000,6.0,8.0,5.0,0.0,20.0,20.0,23.0
107,17.9,0.9693347131367422,0.5586379569354032,10000,5.0,1.0,12.0,40.0,10.0,8.0,0.0
108,0.66,1.0899746646948834,0.2188282423635453,10000,3.0,4.0,2.0,6.0,1.0,4.0,10.0
109,0.37,1.043376806528465,0.3233850776164246,10000,0.0,3.0,9.0,39.0,8.0,2.0,10.0
110,0.25,1.1156542075335898,0.1698547821732599,10000,0.0,6.0,11.0,22.0,4.0,14.0,28.0
111,39.9,0.8223560759900903,0.9561342013019529,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,26.0,1.0556901426649308,0.29374061091637454,10000,0.0,6.0,9.0,33.0,4.0,13.0,13.0
113,20.0,1.0066576315165148,0.42864296444667,10000,0.0,4.0,6.0,32.0,13.0,4.0,16.0
115,80.0,1.075693934814999,0.24807210816224334,10000,1.0,1.0,5.0,9.0,10.0,2.0,0.0
117,2.75,1.0725038177146826,0.2543815723585378,10000,0.0,2.0,6.0,27.0,14.0,6.0,28.0
118,0.4,1.1810830719871304,0.08502754131196795,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,33.95,0.904116965790594,0.7806710065097647,10000,0.0,7.0,13.0,0.0,1.0,22.0,27.0
120,62.6262,1.1061579848245993,0.185678517776665,10000,6.0,4.0,5.0,6.0,28.0,6.0,12.0
121,1.89,1.2409919445115667,0.03445167751627441,10000,5.0,3.0,13.0,28.0,25.0,9.0,19.0
122,59.5,0.9664618513418406,0.5672508763144718,10000,3.0,4.0,10.0,21.0,1.0,1.0,0.0
123,79.99,1.1023950901667914,0.1928893340010015,10000,4.0,6.0,3.0,39.0,29.0,6.0,6.0
124,97.5,0.92004297747932,0.727391086629945,10000,6.0,6.0,9.0,28.0,10.0,2.0,0.0
127,0.95,1.0033645530179287,0.4396594892338508,10000,0.0,6.0,3.0,30.0,4.0,23.0,24.0
128,80.0,1.1347681267574938,0.14221331997996994,10000,5.0,3.0,2.0,41.0,27.0,6.0,23.0
129,99.5,0.8842673513066324,0.8388582874311468,10000,0.0,2.0,16.0,0.0,19.0,1.0,6.0
131,115.7,1.221251384872129,0.04917376064096145,10000,6.0,5.0,9.0,8.0,5.0,7.0,23.0
134,159.0,0.8785136803053774,0.8512769153730596,10000,0.0,2.0,5.0,22.0,20.0,21.0,0.0
136,7.77,0.8674501808617513,0.8774161241862795,10000,0.0,5.0,5.0,0.0,1.0,22.0,10.0
138,4.15,0.9093467877029068,0.7627441161742614,10000,0.0,1.0,6.0,29.0,10.0,13.0,0.0
141,5.8985,0.9501425607157898,0.6246369554331498,10000,0.0,7.0,6.0,0.0,25.0,23.0,0.0
142,25.0,0.89342544781525,0.8117175763645469,10000,0.0,6.0,6.0,24.0,25.0,19.0,0.0
143,0.25,0.9029053266804636,0.7853780671006511,10000,0.0,7.0,5.0,36.0,1.0,7.0,27.0
144,1.7,1.059432872568456,0.285828743114672,10000,0.0,5.0,16.0,39.0,20.0,22.0,18.0
145,96.0,0.8414901309290008,0.9269904857285929,10000,0.0,6.0,6.0,29.0,19.0,6.0,0.0
146,0.32,0.8049008690920366,0.9732598898347522,10000,0.0,2.0,6.0,14.0,10.0,7.0,0.0
148,6.8,1.07375955196716,0.2515773660490736,10000,3.0,6.0,6.0,30.0,1.0,21.0,10.0
149,180.0,1.0184516245800972,0.39278918377566346,10000,0.0,3.0,10.0,8.0,4.0,14.0,3.0
150,0.45,0.9444187200121424,0.6440660991487231,10000,0.0,6.0,3.0,29.0,24.0,12.0,0.0
151,52.0,1.06888949314503,0.26389584376564845,10000,0.0,8.0,19.0,37.0,30.0,6.0,28.0
152,58.0,0.823912756201316,0.9542313470205308,10000,0.0,7.0,6.0,0.0,10.0,2.0,9.0
154,79.9,0.896483480672289,0.8039058587881823,10000,0.0,6.0,12.0,34.0,24.0,6.0,6.0
155,70.69,1.0922396393846625,0.21482223335002504,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1.0,0.9545209455381746,0.6092138207310966,10000,0.0,8.0,12.0,22.0,10.0,4.0,2.0
158,33.0,1.133736925916259,0.14361542313470205,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,48.0,1.1314300545632023,0.14712068102153228,10000,6.0,3.0,6.0,20.0,1.0,8.0,16.0
160,77.69,1.1387256093907714,0.13550325488232348,10000,5.0,3.0,19.0,17.0,1.0,1.0,6.0
161,45.0,1.0888931909994692,0.22073109664496743,10000,0.0,8.0,13.0,1.0,13.0,7.0,25.0
162,0.9876,1.0430381181957349,0.32448673009514273,10000,0.0,2.0,3.0,12.0,3.0,2.0,23.0
163,0.9999,0.9024227747353828,0.7868803204807211,10000,0.0,5.0,11.0,2.0,1.0,6.0,6.0
164,110.0,0.8205783399950933,0.9578367551326991,10000,0.0,2.0,9.0,8.0,1.0,2.0,0.0
165,3.77,1.3263758590613626,0.006409614421632449,10000,5.0,2.0,19.0,30.0,21.0,9.0,14.0
166,65.0,0.8908478042852488,0.8200300450676015,10000,0.0,6.0,1.0,18.0,1.0,19.0,4.0
167,0.45,0.929444570695726,0.6970455683525288,10000,0.0,4.0,16.0,34.0,24.0,2.0,0.0
169,6.95,1.0406815653256676,0.3304957436154231,10000,0.0,7.0,5.0,31.0,3.0,4.0,4.0
170,169.0,0.9445720230014454,0.6435653480220331,10000,0.0,7.0,6.0,41.0,10.0,7.0,16.0
172,48.8,0.8714892054221058,0.8682023034551828,10000,0.0,7.0,6.0,29.0,10.0,23.0,0.0
173,8.5,1.0175740766732178,0.39469203805708564,10000,6.0,5.0,9.0,13.0,24.0,4.0,0.0
174,132.0,1.1151119411505048,0.17075613420130195,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,107.5,1.1584688695349263,0.10986479719579369,10000,5.0,7.0,2.0,11.0,4.0,8.0,15.0
176,65.99,0.8105705470193074,0.9683525287931898,10000,0.0,6.0,6.0,10.0,10.0,7.0,0.0
177,110.0,1.0038890293360347,0.43755633450175263,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,70.0,0.955533788416756,0.6057085628442664,10000,0.0,6.0,16.0,20.0,1.0,4.0,18.0
179,50.0,0.8269835627199915,0.9499248873309966,10000,0.0,6.0,3.0,0.0,10.0,21.0,0.0
181,0.265,0.8328953600668989,0.9408112168252379,10000,0.0,7.0,6.0,31.0,1.0,6.0,25.0
182,48.25,0.991517947866046,0.47991987981972956,10000,0.0,1.0,12.0,26.0,13.0,21.0,10.0
184,100.88,0.8368876465603265,0.9338007010515774,10000,0.0,8.0,3.0,43.0,1.0,23.0,0.0
185,120.0,1.1109182236301791,0.17796695042563845,10000,5.0,1.0,9.0,38.0,10.0,4.0,18.0
186,8.25,1.0979345121021455,0.20230345518277415,10000,0.0,1.0,12.0,6.0,31.0,22.0,22.0
187,108.5,0.9366481370548448,0.6736104156234352,10000,6.0,6.0,6.0,10.0,4.0,17.0,0.0
188,0.6,0.9561765109991652,0.6030045067601403,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0.075,0.7851835135579279,0.9866800200300451,10000,0.0,6.0,9.0,0.0,1.0,6.0,8.0
190,0.35,1.1993602100517111,0.0672008012018027,10000,1.0,7.0,11.0,8.0,1.0,19.0,7.0
191,100.0,0.9957882786489992,0.4646970455683525,10000,0.0,3.0,16.0,22.0,4.0,10.0,6.0
192,0.07,0.8233482691540205,0.9548322483725589,10000,0.0,7.0,6.0,0.0,10.0,7.0,26.0
193,60.0,0.8778103661690602,0.8537806710065098,10000,0.0,6.0,5.0,6.0,10.0,9.0,0.0
194,3.0,0.9325477248406124,0.6876314471707562,10000,0.0,3.0,16.0,9.0,1.0,6.0,11.0
195,120.0,0.9400985270894604,0.6617926890335504,10000,5.0,7.0,14.0,0.0,1.0,1.0,12.0
196,0.9,1.0305353136628068,0.35673510265398095,10000,0.0,7.0,9.0,0.0,22.0,22.0,1.0
198,16.0,1.0497151292877829,0.30615923885828744,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,3.84,0.9448357338816948,0.6427641462193291,10000,0.0,4.0,16.0,30.0,10.0,6.0,28.0
200,60.0,1.0040828819337295,0.4368552829243866,10000,0.0,6.0,13.0,0.0,32.0,19.0,5.0
201,104.88,0.8981017943595466,0.799399098647972,10000,0.0,7.0,13.0,21.0,10.0,16.0,0.0
203,68.69,1.2534483883938403,0.028943415122684023,10000,2.0,5.0,13.0,23.0,10.0,2.0,15.0
204,40.0,0.94419705789108,0.6449674511767652,10000,0.0,4.0,3.0,39.0,20.0,10.0,0.0
205,4.0,0.8842605928430691,0.8389584376564848,10000,0.0,6.0,9.0,31.0,13.0,4.0,0.0
206,125.0,0.8701572212122983,0.871807711567351,10000,0.0,3.0,6.0,28.0,1.0,8.0,14.0
207,2.99,0.8843816495582849,0.8385578367551327,10000,0.0,3.0,12.0,11.0,1.0,4.0,10.0
208,98.0,1.2028938639501603,0.0640961442163245,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,59.0,1.0967696961584574,0.20500751126690034,10000,5.0,7.0,19.0,0.0,23.0,8.0,23.0
210,145.0,0.9820128967678208,0.514171256885328,10000,0.0,4.0,3.0,39.0,28.0,12.0,9.0
211,4.5,0.883974531646341,0.8393590385578368,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,125.0,1.1152397228913529,0.17055583375062594,10000,1.0,6.0,16.0,0.0,26.0,12.0,12.0
213,105.0,1.165119578208391,0.10205307961942915,10000,6.0,3.0,10.0,15.0,26.0,2.0,6.0
214,95.5,0.9752927776958094,0.5372058087130697,10000,4.0,5.0,3.0,29.0,20.0,7.0,0.0
215,22.0,0.953167317301815,0.6141211817726591,10000,0.0,3.0,14.0,14.0,10.0,4.0,7.0
217,0.399,0.8827146872589781,0.842263395092639,10000,0.0,4.0,3.0,22.0,27.0,19.0,0.0
218,92.5,1.0155879578268765,0.4013019529293941,10000,6.0,8.0,6.0,25.0,20.0,18.0,0.0
221,127.7,1.1012435763118118,0.19539308963445168,10000,0.0,1.0,6.0,9.0,12.0,11.0,1.0
