,ETH,score,rank,collection_size,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
831,77.0,1.0705209016865282,2604,10000,Gold Hoop,Yellow,Cream,Black Holes T,Bored Unshaven,Bored,Bowler
832,5.95,0.8512978253729433,9091,10000,,New Punk Blue,Black,Leather Punk Jacket,Bored Unshaven,3d,
833,0.7,0.8239566918293129,9536,10000,,Purple,Dark Brown,Admirals Coat,Bored Unshaven,Bored,
834,27.77,0.955842428747136,6045,10000,,Gray,Robot,,Grin,Heart,Short Mohawk
835,69.4,0.9411239402742634,6578,10000,Silver Hoop,Aquamarine,Black,Service,Bored,Scumbag,
836,0.8,0.817390932681695,9600,10000,,Blue,Dark Brown,,Bored Unshaven,3d,Short Mohawk
837,1.35,0.997856356490776,4574,10000,,Orange,Brown,Sleeveless T,Bored Unshaven Cigar,Closed,Fez
838,1.1,0.8837894745307504,8397,10000,,Orange,Pink,,Bored Unshaven,Coins,Bayc Flipped Brim
839,6.0,0.8987333720541104,7971,10000,,Purple,Zombie,Sailor Shirt,Bored Unshaven,Crazy,
840,129.0,1.3161087545549457,94,10000,,,,,,,
841,66.5,0.9784832818410136,5268,10000,,Army Green,Black,Vietnam Jacket,Phoneme L,Sad,Cowboy Hat
842,1.99,0.9692774902465676,5592,10000,,New Punk Blue,Dark Brown,Leather Jacket,Jovial,Sleepy,Horns
843,2.5,0.9543635637885932,6098,10000,,Yellow,Brown,Puffy Vest,Bored Unshaven,Blindfold,Stuntman Helmet
844,1.5,0.9742050794119316,5413,10000,Gold Stud,Aquamarine,Pink,Leather Punk Jacket,Bored,Sad,
845,53.9,0.7855837484234033,9860,10000,,Aquamarine,Black,Tanktop,Bored,Sleepy,
846,171.0,0.996034772598656,4645,10000,,Yellow,Black,Puffy Vest,Phoneme  ooo,Coins,Bowler
847,1.5,0.953046570094156,6147,10000,,Gray,Black,Pimp Coat,Bored,Bloodshot,Bayc Hat Red
848,1.3,0.8844884581638705,8379,10000,,Aquamarine,Death Bot,,Bored Unshaven,Bored,Sushi Chef Headband
849,6.39,0.9792504613287076,5241,10000,Cross,Purple,Brown,Sleeveless T,Bored Unshaven,Coins,
